height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
165,1,15,35,8,10,3,1,0,0,1,Agree,9,Better off,Not having children at all,4,4,4,0,Female
162,2,4,24,6,100,2,1,0,0,0.14,Agree,9,Better off,Not having children at all,4,1,4,1000,Female
158,1,10,70,7,5,4,1,0,0,-0.86,Disagree,9,Better off,Not having children at all,2,1,4,94,Female
187,3,4,32,8,29,2,1,0,0,0.6699999999999999,Disagree,8,Worse off,Not having children at all,3,3,5,763,Male
172,1,5,15,7,0,2,1,0,0,0.8,Disagree,9,Better off,Not having children at all,4,3,5,20,Female
161,2,3,5,7,15,2,1,0,0,1,Agree,7,Better off,Having children later in her career,2,3,4,1203,Female
178,1,4,50,6,14,4,1,0,0,1,Disagree,8,Better off,Having children later in her career,4,4,5,760,Male
182.88,2,2,20,7,3.33,5,1,0,0,1,Agree,8,Better off,Having children early on in her career,3,5,5,737,Female
171,2,3,40,6,5.33,1,1,0,0,1,Disagree,10,Better off,Having children later in her career,2,1,5,1500,Female
167,1,7,21,7,10,3,1,0,0,1,Disagree,8,Better off,Having children early on in her career,4,4,3,19,Female
175,1,3,30,7.5,7,2,1,0,0,0.6699999999999999,Disagree,8,Worse off,Not having children at all,3,2,4,10,Male
168,2,4,14,7,7,2,1,0,0,0.89,Disagree,10,Better off,Having children later in her career,3,2,5,598,Female
163,2,2,35,8,13,2,1,0,0,1,Disagree,10,Better off,Having children later in her career,4,3,5,300,Female
164,1,3,14,8,50,2,1,0,0,1,Agree,9,Better off,Having children later in her career,4,4,4,200,Female
132,2,3,35,7,13,2,1,0,0,0.6,Disagree,9,Better off,Having children later in her career,3,3,4,483,Female
198,2,7,21,8,20,4,1,0,0,-1,Disagree,9,Better off,Having children later in her career,4,4,5,500,Male
160,1,9,35,7.5,50,2,1,0,0,1,Disagree,10,Better off,Not having children at all,4,4,5,159,Female
160,2,4,12,7,5,2,1,0,0,0.8,Agree,9,Worse off,Having children early on in her career,3,3,5,300,Female
178,1,6,28,7,260,3,1,0,0,0.33299999999999996,Agree,7,Worse off,Having children early on in her career,NA,NA,NA,0,Female
174,1,7,50,9,15,3,1,0,0,0.6,Agree,5,Better off,Having children early on in her career,4,3,4,7,Female
150,1,6,10,8,55,3,1,0,0,-1,Disagree,10,Better off,Having children later in her career,4,5,5,769,Female
160,2,3,6,8,85,3,1,0,0,0.8,Agree,8,Better off,Having children later in her career,2,4,5,700,Female
192,3,6,60,6.5,34,1,1,0,0,0.3,Disagree,8,Better off,Having children later in her career,3,1,4,8,Male
